requirement_id,contest_requirement,completion_state,evidence_level,allowed_claim,blocking_gap,authoritative_evidence,next_evidence
R01,At least three agents and three role types with multi-step work,partially_proven,3,"Four named roles appear in retained P0/P1 role and rendered-request artifacts.","Role call presence is not behavioral attribution; P0 pytest is historical fail.","03_contest_coverage_matrix.csv; 02_role_case_metrics.csv; 04_full_experiment_truth_audit.md#Contest Coverage And Claim Level","Per-role perturbation or ablation linked to output and quality."
R02,Structured action parameter result and capability communication,partially_proven,3,"Typed UDS/subprocess transport was exercised in P0 Stage 07 and P1 memfd_subprocess.","Not every role/backend crosses a process boundary; no performance conclusion.","03_contest_coverage_matrix.csv; 03_stage_integrity_matrix.csv; v2/control/transport.py","Matched functional lifecycle traces and separate performance controls."
R03,Text and structured modes under the same task condition,partially_proven,3,"System-level text/structured records exist across P0 compare/formal/carrier stages.","Selection prompt helpers tools and carrier are not all frozen.","03_comparison_recomputation.csv; 03_latency_repeat_recomputation.csv; 02_claim_and_boundary_ledger.csv","Serialized AB/BA matched-control reruns."
R04,Non-text state generation transfer receipt and use,partially_proven,3,"StateRef publication transfer and receiver hydration are recorded.","STATE_CONSUME=0; behavior-changing use is not recorded; no KV/hidden-state claim.","03_mechanism_evidence_matrix.csv; 04_full_experiment_truth_audit.md#Mechanism Evidence Matrix","Role/ref/field consume event plus on/off or perturbation A/B."
R05,Memory unit metadata,implemented_execution_bounded,2,"Memory model/store defines ID source agent creation time theme summary and tags.","Artifact package does not independently establish every metadata field outcome for every task.","v2/memory/models.py; v2/memory/store.py; 03_contest_coverage_matrix.csv","Persist per-task metadata inventory and reader trace."
R06,Keyword tag and semantic memory retrieval,implemented_execution_bounded,2,"Keyword and tag lookup are implemented and memory/replay paths are recorded.","No independent complete A/B for each retrieval mode or general retrieval quality.","v2/memory/store.py; 03_contest_coverage_matrix.csv","Mode-isolated retrieval accuracy and consumption trace."
R07,Cross-task memory reuse,partially_proven_with_class_boundary,4,"Memory/replay classes output restoration and selected reuse fields are retained.","Match validated replay exact replay restoration skipped work and reuse gain are not equivalent.","02_stage_layer_family_case.csv; 03_mechanism_evidence_matrix.csv; 05_issue_ledger.csv","Per-case identity hashes plus agent LLM tool and token deltas."
R08,Two related continuous task groups and ten rounds,partially_proven,3,"Continuous-family and round metrics are inventoried for P0 Stages 04-05.","Family-specific result cannot support universal claim; historical matrix remains non-all-pass.","03_stage_integrity_matrix.csv; 03_contest_coverage_matrix.csv","Targeted continuous-chain replay and isolation evidence."
R09,Communication token byte state latency and reuse metrics,partially_proven,3,"Ledgers preserve additive fields and recompute ratios without zero filling.","Missing bytes and consumption remain null; latency superiority is disallowed by source.","02_normalized_evidence_ledger.json; 03_latency_repeat_recomputation.csv","Matched serialized timing distribution and complete provenance fields."
R10,Runtime protocol statepool memory and evaluation modules,partially_proven,3,"Implemented subsystems have recorded P0/P1 execution paths.","Aggregate surface does not remove individual contract or status failures.","03_contest_coverage_matrix.csv; 03_stage_integrity_matrix.csv","New labelled all-contract validation matrix."
R11,CodeAct support and safe isolation,prototype_only,3,"Fallback-aware CodeAct/sandbox path and telemetry exist.","No independent security result nsjail proof or final openEuler isolation validation.","03_contest_coverage_matrix.csv; v2/runtime/codeact.py","Threat-modelled sandbox validation."
R12,Source design deployment report and demo-video package,incomplete,1,"Repository contains source documents deployment material and this audit.","No audited demo-video or reviewed submission manifest.","README.md; docs/reports/; deploy/; audit package","Versioned delivery manifest including video artifact and review checklist."
R13,openEuler 24.03 LTS SP3 compile run and test delivery,not_proven,2,"Container-oriented source and prior container-boundary documentation exist.","No P0/P1 final openEuler VM delivery result.","docs/reports/openeuler_container_validation_20260703.md; 03_contest_coverage_matrix.csv","Immutable final openEuler delivery bundle."
