run_group,stage,purpose,historical_status,status_tsv_status,stdout_status_signal,stdout_artifact_status,stderr_artifact_status,run_log_mentions_stage,subreport_file_count,workspace_file_count,workspace_parse_error_count,artifact_status,consistency_status,coverage_status,artifact_file_count,parse_error_count,empty_file_count,statebus_case_records,external_case_records,quality_numerator,quality_denominator,key_metrics,failure_or_anomaly,integrity_detail,supported_claim,unsupported_claim,artifact_paths
p0_full,00_preflight,environment/configuration precondition,pass,,pass,parsed,not_present,True,0,0,0,stage_artifacts_present,consistent,partial_artifact_coverage,1,0,0,0,0,0,0,"{""fallback_count"":null,""prompt_tokens"":null,""prompt_visible_bytes"":null,""raw_evidence_bytes_seen_by_llm"":null,""state_ref_count"":null,""total_tokens"":null}",none recorded,"{""stderr_paths"":[],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/00_preflight/stdout.json"",""subreport_paths"":[],""workspace_parse_errors"":0,""workspace_paths_present"":0}",the recorded stage contract and artifacts,claims outside the stage contract or absent fairness controls,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/00_preflight/stdout.json; stages/00_preflight/stdout.json
p0_full,01_pytest_v2,v2 regression suite,fail,,,missing_or_unparsed,not_present,True,0,0,0,stage_artifacts_present,consistent,partial_artifact_coverage,0,0,0,0,0,0,0,"{""fallback_count"":null,""prompt_tokens"":null,""prompt_visible_bytes"":null,""raw_evidence_bytes_seen_by_llm"":null,""state_ref_count"":null,""total_tokens"":null}",historical_status=fail,"{""stderr_paths"":[],""stdout_path"":null,""subreport_paths"":[],""workspace_parse_errors"":0,""workspace_paths_present"":0}",historical failure is preserved,an all-green matrix conclusion,/statebus/runs/full_qwen3_full_p1_20260715_001059/logs/01_pytest_v2.log
p0_full,02_compare_full,StateBus/external-text comparison,pass,,,parsed,parse_or_content_present,True,6,732,0,stage_artifacts_present,consistent,stdout_and_workspace_or_subreport_present,1531,0,0,25,25,50,50,"{""fallback_count"":0.0,""prompt_tokens"":115947.0,""prompt_visible_bytes"":33864.0,""raw_evidence_bytes_seen_by_llm"":27494.0,""state_ref_count"":25.0,""total_tokens"":133322.0}",none recorded,"{""stderr_paths"":[""stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/step-execute.stderr.json"",""stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-2/logs/step-execute.stderr.json"",""stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-3/logs/step-execute.stderr.json"",""stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-4/logs/step-execute.stderr.json"",""stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-5/logs/step-execute.stderr.json"",""stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-6/logs/step-execute.stderr.json"",""stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-7/logs/step-execute.stderr.json"",""stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-8/logs/step-execute.stderr.json""],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/stdout.json"",""subreport_paths"":[""stages/02_compare_full/runtime/benchmark_reports/full-02_compare_full-full_p1_20260715_001059-cold-start-compare-local_vllm.json"",""stages/02_compare_full/runtime/benchmark_reports/full-02_compare_full-full_p1_20260715_001059-cold-start-compare-local_vllm.md"",""stages/02_compare_full/runtime/benchmark_reports/full-02_compare_full-full_p1_20260715_001059-cold-start-compare.json"",""stages/02_compare_full/runtime/benchmark_reports/full-02_compare_full-full_p1_20260715_001059-cold-start-compare.md"",""stages/02_compare_full/runtime/local_vllm/external/benchmark_reports/full-02_compare_full-full_p1_20260715_001059-cold-start-compare-external-local_vllm.json"",""stages/02_compare_full/runtime/local_vllm/statebus/benchmark_reports/full-02_compare_full-full_p1_20260715_001059-cold-start-compare-statebus-local_vllm.json""],""workspace_parse_errors"":0,""workspace_paths_present"":732}",the recorded system-level comparison,single-variable typed-carrier causality without matched controls,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/stdout.json; stages/02_compare_full/stdout.json; stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/step-execute.stdout.json; stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-2/logs/step-execute.stdout.json; stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-3/logs/step-execute.stdout.json; stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-4/logs/step-execute.stdout.json; stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-5/logs/step-execute.stdout.json; stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-6/logs/step-execute.stdout.json
p0_full,03_replay_full,replay classification and reuse,pass,,,parsed,parse_or_content_present,True,1,1404,0,stage_artifacts_present,consistent,stdout_and_workspace_or_subreport_present,2801,0,0,50,0,50,50,"{""fallback_count"":0.0,""prompt_tokens"":109932.0,""prompt_visible_bytes"":156714.0,""raw_evidence_bytes_seen_by_llm"":140312.0,""state_ref_count"":25.0,""total_tokens"":129802.0}",none recorded,"{""stderr_paths"":[""stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-1/logs/step-execute.stderr.json"",""stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-2/logs/step-execute.stderr.json"",""stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-3/logs/step-execute.stderr.json"",""stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-4/logs/step-execute.stderr.json"",""stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-5/logs/step-execute.stderr.json"",""stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-6/logs/step-execute.stderr.json"",""stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-7/logs/step-execute.stderr.json"",""stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-8/logs/step-execute.stderr.json""],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/03_replay_full/stdout.json"",""subreport_paths"":[""stages/03_replay_full/runtime/L3/benchmark_reports/full-03_replay_full-full_p1_20260715_001059-statebus-l3.json""],""workspace_parse_errors"":0,""workspace_paths_present"":1404}",the recorded stage contract and artifacts,claims outside the stage contract or absent fairness controls,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/03_replay_full/stdout.json; stages/03_replay_full/stdout.json; stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-1/logs/step-execute.stdout.json; stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-2/logs/step-execute.stdout.json; stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-3/logs/step-execute.stdout.json; stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-4/logs/step-execute.stdout.json; stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-5/logs/step-execute.stdout.json; stages/03_replay_full/workspaces/L3/_history_bootstrap/benchmark-sample-6/logs/step-execute.stdout.json
p0_full,04_continuous_csv_full,CSV continuous-task reuse,pass,,,parsed,parse_or_content_present,True,6,1200,0,stage_artifacts_present,consistent,stdout_and_workspace_or_subreport_present,2347,0,0,40,0,40,40,"{""fallback_count"":0.0,""prompt_tokens"":159140.0,""prompt_visible_bytes"":253104.0,""raw_evidence_bytes_seen_by_llm"":226810.0,""state_ref_count"":20.0,""total_tokens"":175290.0}",none recorded,"{""stderr_paths"":[""stages/04_continuous_csv_full/workspaces/L0/csv-profile-001/logs/step-execute.stderr.json"",""stages/04_continuous_csv_full/workspaces/L0/csv-profile-002/logs/step-execute.stderr.json"",""stages/04_continuous_csv_full/workspaces/L0/csv-profile-003/logs/step-execute.stderr.json"",""stages/04_continuous_csv_full/workspaces/L0/csv-profile-004/logs/step-execute.stderr.json"",""stages/04_continuous_csv_full/workspaces/L0/csv-profile-005/logs/step-execute.stderr.json"",""stages/04_continuous_csv_full/workspaces/L0/csv-profile-006/logs/step-execute.stderr.json"",""stages/04_continuous_csv_full/workspaces/L0/csv-profile-007/logs/step-execute.stderr.json"",""stages/04_continuous_csv_full/workspaces/L0/csv-profile-008/logs/step-execute.stderr.json""],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/04_continuous_csv_full/stdout.json"",""subreport_paths"":[""stages/04_continuous_csv_full/runtime/L0/benchmark_reports/full-04_continuous_csv_full-full_p1_20260715_001059-continuous-L0.json"",""stages/04_continuous_csv_full/runtime/L1/benchmark_reports/full-04_continuous_csv_full-full_p1_20260715_001059-continuous-L1.json"",""stages/04_continuous_csv_full/runtime/L2/benchmark_reports/full-04_continuous_csv_full-full_p1_20260715_001059-continuous-L2.json"",""stages/04_continuous_csv_full/runtime/L3/benchmark_reports/full-04_continuous_csv_full-full_p1_20260715_001059-continuous-L3.json"",""stages/04_continuous_csv_full/runtime/benchmark_reports/full-04_continuous_csv_full-full_p1_20260715_001059-continuous.evidence.md"",""stages/04_continuous_csv_full/runtime/benchmark_reports/full-04_continuous_csv_full-full_p1_20260715_001059-continuous.json""],""workspace_parse_errors"":0,""workspace_paths_present"":1200}",the recorded stage contract and artifacts,claims outside the stage contract or absent fairness controls,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/04_continuous_csv_full/stdout.json; stages/04_continuous_csv_full/stdout.json; stages/04_continuous_csv_full/workspaces/L0/csv-profile-001/logs/step-execute.stdout.json; stages/04_continuous_csv_full/workspaces/L0/csv-profile-002/logs/step-execute.stdout.json; stages/04_continuous_csv_full/workspaces/L0/csv-profile-003/logs/step-execute.stdout.json; stages/04_continuous_csv_full/workspaces/L0/csv-profile-004/logs/step-execute.stdout.json; stages/04_continuous_csv_full/workspaces/L0/csv-profile-005/logs/step-execute.stdout.json; stages/04_continuous_csv_full/workspaces/L0/csv-profile-006/logs/step-execute.stdout.json
p0_full,05_continuous_cross_full,cross-period continuous-task reuse,pass,,,parsed,parse_or_content_present,True,6,1160,0,stage_artifacts_present,consistent,stdout_and_workspace_or_subreport_present,2307,0,0,40,0,40,40,"{""fallback_count"":0.0,""prompt_tokens"":101944.0,""prompt_visible_bytes"":141352.0,""raw_evidence_bytes_seen_by_llm"":110714.0,""state_ref_count"":20.0,""total_tokens"":119695.0}",none recorded,"{""stderr_paths"":[""stages/05_continuous_cross_full/workspaces/L0/cross-period-001/logs/step-execute.stderr.json"",""stages/05_continuous_cross_full/workspaces/L0/cross-period-002/logs/step-execute.stderr.json"",""stages/05_continuous_cross_full/workspaces/L0/cross-period-003/logs/step-execute.stderr.json"",""stages/05_continuous_cross_full/workspaces/L0/cross-period-004/logs/step-execute.stderr.json"",""stages/05_continuous_cross_full/workspaces/L0/cross-period-005/logs/step-execute.stderr.json"",""stages/05_continuous_cross_full/workspaces/L0/cross-period-006/logs/step-execute.stderr.json"",""stages/05_continuous_cross_full/workspaces/L0/cross-period-007/logs/step-execute.stderr.json"",""stages/05_continuous_cross_full/workspaces/L0/cross-period-008/logs/step-execute.stderr.json""],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/05_continuous_cross_full/stdout.json"",""subreport_paths"":[""stages/05_continuous_cross_full/runtime/L0/benchmark_reports/full-05_continuous_cross_full-full_p1_20260715_001059-continuous-L0.json"",""stages/05_continuous_cross_full/runtime/L1/benchmark_reports/full-05_continuous_cross_full-full_p1_20260715_001059-continuous-L1.json"",""stages/05_continuous_cross_full/runtime/L2/benchmark_reports/full-05_continuous_cross_full-full_p1_20260715_001059-continuous-L2.json"",""stages/05_continuous_cross_full/runtime/L3/benchmark_reports/full-05_continuous_cross_full-full_p1_20260715_001059-continuous-L3.json"",""stages/05_continuous_cross_full/runtime/benchmark_reports/full-05_continuous_cross_full-full_p1_20260715_001059-continuous.evidence.md"",""stages/05_continuous_cross_full/runtime/benchmark_reports/full-05_continuous_cross_full-full_p1_20260715_001059-continuous.json""],""workspace_parse_errors"":0,""workspace_paths_present"":1160}",the recorded stage contract and artifacts,claims outside the stage contract or absent fairness controls,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/05_continuous_cross_full/stdout.json; stages/05_continuous_cross_full/stdout.json; stages/05_continuous_cross_full/workspaces/L0/cross-period-001/logs/step-execute.stdout.json; stages/05_continuous_cross_full/workspaces/L0/cross-period-002/logs/step-execute.stdout.json; stages/05_continuous_cross_full/workspaces/L0/cross-period-003/logs/step-execute.stdout.json; stages/05_continuous_cross_full/workspaces/L0/cross-period-004/logs/step-execute.stdout.json; stages/05_continuous_cross_full/workspaces/L0/cross-period-005/logs/step-execute.stdout.json; stages/05_continuous_cross_full/workspaces/L0/cross-period-006/logs/step-execute.stdout.json
p0_full,06_formal_full,formal L0-L3 matrix,pass,,,parsed,parse_or_content_present,True,5,2928,0,stage_artifacts_present,consistent,stdout_and_workspace_or_subreport_present,5784,0,0,100,0,100,100,"{""fallback_count"":0.0,""prompt_tokens"":262672.0,""prompt_visible_bytes"":341072.0,""raw_evidence_bytes_seen_by_llm"":315592.0,""state_ref_count"":50.0,""total_tokens"":305468.0}",none recorded,"{""stderr_paths"":[""stages/06_formal_full/workspaces/L0/benchmark-sample-1/logs/step-execute.stderr.json"",""stages/06_formal_full/workspaces/L0/benchmark-sample-2/logs/step-execute.stderr.json"",""stages/06_formal_full/workspaces/L0/benchmark-sample-3/logs/step-execute.stderr.json"",""stages/06_formal_full/workspaces/L0/benchmark-sample-4/logs/step-execute.stderr.json"",""stages/06_formal_full/workspaces/L0/benchmark-sample-5/logs/step-execute.stderr.json"",""stages/06_formal_full/workspaces/L0/benchmark-sample-6/logs/step-execute.stderr.json"",""stages/06_formal_full/workspaces/L0/benchmark-sample-7/logs/step-execute.stderr.json"",""stages/06_formal_full/workspaces/L0/benchmark-sample-8/logs/step-execute.stderr.json""],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/stdout.json"",""subreport_paths"":[""stages/06_formal_full/runtime/L0/benchmark_reports/full-06_formal_full-full_p1_20260715_001059-formal-L0.json"",""stages/06_formal_full/runtime/L1/benchmark_reports/full-06_formal_full-full_p1_20260715_001059-formal-L1.json"",""stages/06_formal_full/runtime/L2/benchmark_reports/full-06_formal_full-full_p1_20260715_001059-formal-L2.json"",""stages/06_formal_full/runtime/L3/benchmark_reports/full-06_formal_full-full_p1_20260715_001059-formal-L3.json"",""stages/06_formal_full/runtime/benchmark_reports/full-06_formal_full-full_p1_20260715_001059-formal-suite.json""],""workspace_parse_errors"":0,""workspace_paths_present"":2928}",the recorded stage contract and artifacts,claims outside the stage contract or absent fairness controls,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/stdout.json; stages/06_formal_full/stdout.json; stages/06_formal_full/workspaces/L0/benchmark-sample-1/logs/step-execute.stdout.json; stages/06_formal_full/workspaces/L0/benchmark-sample-2/logs/step-execute.stdout.json; stages/06_formal_full/workspaces/L0/benchmark-sample-3/logs/step-execute.stdout.json; stages/06_formal_full/workspaces/L0/benchmark-sample-4/logs/step-execute.stdout.json; stages/06_formal_full/workspaces/L0/benchmark-sample-5/logs/step-execute.stdout.json; stages/06_formal_full/workspaces/L0/benchmark-sample-6/logs/step-execute.stdout.json
p0_full,07_formal_subprocess_uds_full,subprocess UDS execution,pass,,,parsed,parse_or_content_present,True,5,2928,0,stage_artifacts_present,consistent,stdout_and_workspace_or_subreport_present,5784,0,0,100,0,100,100,"{""fallback_count"":0.0,""prompt_tokens"":262672.0,""prompt_visible_bytes"":341072.0,""raw_evidence_bytes_seen_by_llm"":315592.0,""state_ref_count"":50.0,""total_tokens"":305468.0}",none recorded,"{""stderr_paths"":[""stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-1/logs/step-execute.stderr.json"",""stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-2/logs/step-execute.stderr.json"",""stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-3/logs/step-execute.stderr.json"",""stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-4/logs/step-execute.stderr.json"",""stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-5/logs/step-execute.stderr.json"",""stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-6/logs/step-execute.stderr.json"",""stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-7/logs/step-execute.stderr.json"",""stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-8/logs/step-execute.stderr.json""],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/07_formal_subprocess_uds_full/stdout.json"",""subreport_paths"":[""stages/07_formal_subprocess_uds_full/runtime/L0/benchmark_reports/full-07_formal_subprocess_uds_full-full_p1_20260715_001059-formal-L0.json"",""stages/07_formal_subprocess_uds_full/runtime/L1/benchmark_reports/full-07_formal_subprocess_uds_full-full_p1_20260715_001059-formal-L1.json"",""stages/07_formal_subprocess_uds_full/runtime/L2/benchmark_reports/full-07_formal_subprocess_uds_full-full_p1_20260715_001059-formal-L2.json"",""stages/07_formal_subprocess_uds_full/runtime/L3/benchmark_reports/full-07_formal_subprocess_uds_full-full_p1_20260715_001059-formal-L3.json"",""stages/07_formal_subprocess_uds_full/runtime/benchmark_reports/full-07_formal_subprocess_uds_full-full_p1_20260715_001059-formal-suite.json""],""workspace_parse_errors"":0,""workspace_paths_present"":2928}",the recorded stage contract and artifacts,claims outside the stage contract or absent fairness controls,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/07_formal_subprocess_uds_full/stdout.json; stages/07_formal_subprocess_uds_full/stdout.json; stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-1/logs/step-execute.stdout.json; stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-2/logs/step-execute.stdout.json; stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-3/logs/step-execute.stdout.json; stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-4/logs/step-execute.stdout.json; stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-5/logs/step-execute.stdout.json; stages/07_formal_subprocess_uds_full/workspaces/L0/benchmark-sample-6/logs/step-execute.stdout.json
p0_full,08_genericity_holdout,"genericity, paraphrase and taint holdout",pass,,pass,parsed,parse_or_content_present,True,4,118,0,stage_artifacts_present,consistent,stdout_and_workspace_or_subreport_present,941,0,0,16,0,16,16,"{""fallback_count"":0.0,""prompt_tokens"":29793.0,""prompt_visible_bytes"":25904.0,""raw_evidence_bytes_seen_by_llm"":21696.0,""state_ref_count"":16.0,""total_tokens"":36015.0}",none recorded,"{""stderr_paths"":[""stages/08_genericity_holdout/workspaces/genericity-formal-agg-004/logs/step-execute.stderr.json"",""stages/08_genericity_holdout/workspaces/genericity-formal-anomaly-001/logs/step-execute.stderr.json"",""stages/08_genericity_holdout/workspaces/genericity-formal-join-004/logs/step-execute.stderr.json"",""stages/08_genericity_holdout/workspaces/genericity-formal-trend-001/logs/step-execute.stderr.json"",""stages/08_genericity_holdout/workspaces-planner-audit/disabled/genericity-disabled-formal-agg-004/logs/step-execute.stderr.json"",""stages/08_genericity_holdout/workspaces-planner-audit/disabled/genericity-disabled-formal-anomaly-001/logs/step-execute.stderr.json"",""stages/08_genericity_holdout/workspaces-planner-audit/disabled/genericity-disabled-formal-join-004/logs/step-execute.stderr.json"",""stages/08_genericity_holdout/workspaces-planner-audit/disabled/genericity-disabled-formal-trend-001/logs/step-execute.stderr.json""],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/08_genericity_holdout/stdout.json"",""subreport_paths"":[""stages/08_genericity_holdout/runtime/benchmark_reports/full-08_genericity_holdout-full_p1_20260715_001059-primary-L3.json"",""stages/08_genericity_holdout/runtime-planner-audit/disabled/benchmark_reports/full-08_genericity_holdout-full_p1_20260715_001059-disabled-L3.json"",""stages/08_genericity_holdout/runtime-planner-audit/original/benchmark_reports/full-08_genericity_holdout-full_p1_20260715_001059-original-L3.json"",""stages/08_genericity_holdout/runtime-planner-audit/perturbed/benchmark_reports/full-08_genericity_holdout-full_p1_20260715_001059-perturbed-L3.json""],""workspace_parse_errors"":0,""workspace_paths_present"":118}",bounded precompiled-contract holdout evidence,free-text task-contract compilation generalization,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/08_genericity_holdout/stdout.json; stages/08_genericity_holdout/stdout.json; stages/08_genericity_holdout/workspaces-planner-audit/disabled/genericity-disabled-formal-agg-004/logs/step-execute.stdout.json; stages/08_genericity_holdout/workspaces-planner-audit/disabled/genericity-disabled-formal-anomaly-001/logs/step-execute.stdout.json; stages/08_genericity_holdout/workspaces-planner-audit/disabled/genericity-disabled-formal-join-004/logs/step-execute.stdout.json; stages/08_genericity_holdout/workspaces-planner-audit/disabled/genericity-disabled-formal-trend-001/logs/step-execute.stdout.json; stages/08_genericity_holdout/workspaces-planner-audit/original/genericity-original-formal-agg-004/logs/step-execute.stdout.json; stages/08_genericity_holdout/workspaces-planner-audit/original/genericity-original-formal-anomaly-001/logs/step-execute.stdout.json
p0_full,09_prefix_shared,shared-prefix measurement,pass,,,parsed,not_present,True,0,0,0,stage_artifacts_present,consistent,partial_artifact_coverage,1,0,0,0,0,0,0,"{""fallback_count"":null,""prompt_tokens"":null,""prompt_visible_bytes"":null,""raw_evidence_bytes_seen_by_llm"":null,""state_ref_count"":null,""total_tokens"":null}",none recorded,"{""stderr_paths"":[],""stdout_path"":""/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/09_prefix_shared/stdout.json"",""subreport_paths"":[],""workspace_parse_errors"":0,""workspace_paths_present"":0}",recorded prefix-counter behavior,agent-to-agent KV/hidden-state handoff or general latency superiority,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/09_prefix_shared/stdout.json; stages/09_prefix_shared/stdout.json
