mechanism,claim,code_evidence,run_evidence,data_evidence,executed,artifact_data,downstream_consumption,fair_ab_evidence,claim_level,claim_status,boundary
P0 matrix,P0 was a complete all-pass 16-stage matrix,launcher/status artifacts,P0 summary/status.tsv,15/16 stages marked pass; 01_pytest_v2 marked fail,yes,yes,n/a,n/a,3,contradicted,matrix_complete is not all_stages_passed; do not describe P0 as 16/16 green
pytest repair,later pytest evidence repairs only the historical P0 pytest conclusion,v2/runtime/smoke.py current post-run diff,partial repair log,repair log pass count and later timestamp are inventoried separately,"yes, pytest-only",yes,n/a,n/a,3,supported_with_boundary,partial repair was interrupted at Stage 02 and is not a second full matrix
Semantic StateRef,"non-text state is published, transferred and receiver-hydrated",v2/runtime/smoke.py; v2/state/store.py,P0 formal/UDS and P1 backend artifacts,case ledger retains transfer counts/bytes where persisted,yes,yes,publication and hydration telemetry exists; no distinct consume event or behavior-effect record,not implied by backend functional pass,3,supported_through_receiver_hydration_only,downstream consumption remains uninstrumented and unproven; not hidden state or KV tensor transfer
P1 backend matrix,three storage variants have equal performance benefit,v2/benchmark/backend_matrix.py,P1 Stage 16,three validation entries,yes,yes,backend-specific,no matched repeated timing proven,3,not_supported,loopback is not cross-process IPC; only memfd subprocess can support that narrower path claim
Memory/replay,a memory match necessarily skips execution,v2/runtime/replay.py,P0 Stage 03/04/05 and P1 Stage 17,replay class and call metrics remain separate ledger fields,yes,yes,must be verified per replay class,only a matched call/token reduction supports gain,4,not_supported_as_general_rule,"distinguish assist, validated replay, exact replay, restored output and skipped calls"
Prefix,P1 proves agent-to-agent KV/hidden-state handoff,scripts/run_vllm_prefix_alignment_repeats.py,P1 Stage 18,"{""aggregate_recomputation"":{""independent"":{""hits"":66.0,""matches_report"":true,""queries"":7571.0,""recomputed_hit_rate"":0.008717474574032493,""reported_hit_rate"":0.008717474574032493},""shared"":{""hits"":5691.0,""matches_report"":true,""queries"":7553.0,""recomputed_hit_rate"":0.7534754402224282,""reported_hit_rate"":0.7534754402224282}},""all_required_pass"":true,""artifact_status"":""complete_requests_and_summary_present"",""available"":true,""claim_status"":""engine_local_prefix_repeat artifact satisfies repaired default verifier; historical summary remains fail"",""clean_service_requested"":false,""current_verifier_status"":""post_run_validator_repair_pass"",""historical_error_evidence"":""zero-byte stderr; run.log records only generic stage failure"",""historical_post_processing_error"":""unrecoverable from preserved artifacts: Stage 18 stderr is zero bytes"",""historical_status"":""fail"",""pair_validation"":{""pair_count"":4,""rows"":[{""all_completion_contracts_valid"":true,""counter_claim_allowed"":true,""evidence_file"":""v2/benchmark/samples/continuous_task_families/kv_prefix_reuse/orion_factory_ops_report_2026.md"",""failure_or_anomaly"":""metadata (repeat/order/evidence) is stored only in repeat_summary; pair_summary provides compatibility/latency"",""independent_hit_rate"":null,""independent_hits"":null,""independent_queries"":null,""independent_warm_ttft_mean_ms"":9717.42440375,""order"":""shared_first"",""pair_ok"":true,""pair_summary_parse_status"":""ok"",""pair_summary_path"":""/home/qcrs/statebus/runs/post_full_p1_qwen3_repaired_20260715_083121/stages/18_prefix_parity_clean_repeats/repeat01/pair_summary.json"",""pair_validation_status"":""validated"",""repeat_index"":1,""shared_hit_rate"":null,""shared_hits"":null,""shared_minus_independent_warm_ttft_ms"":-2271.2658707499995,""shared_queries"":null,""shared_warm_ttft_mean_ms"":7446.158533},{""all_completion_contracts_valid"":true,""counter_claim_allowed"":true,""evidence_file"":""v2/benchmark/samples/continuous_task_families/kv_prefix_reuse/nova_retail_ops_report_2026.md"",""failure_or_anomaly"":""metadata (repeat/order/evidence) is stored only in repeat_summary; pair_summary provides compatibility/latency"",""independent_hit_rate"":null,""independent_hits"":null,""independent_queries"":null,""independent_warm_ttft_mean_ms"":9636.48109225,""order"":""independent_first"",""pair_ok"":true,""pair_summary_parse_status"":""ok"",""pair_summary_path"":""/home/qcrs/statebus/runs/post_full_p1_qwen3_repaired_20260715_083121/stages/18_prefix_parity_clean_repeats/repeat02/pair_summary.json"",""pair_validation_status"":""validated"",""repeat_index"":2,""shared_hit_rate"":null,""shared_hits"":null,""shared_minus_independent_warm_ttft_ms"":-1823.1133447500006,""shared_queries"":null,""shared_warm_ttft_mean_ms"":7813.3677474999995},{""all_completion_contracts_valid"":true,""counter_claim_allowed"":true,""evidence_file"":""v2/benchmark/samples/continuous_task_families/kv_prefix_reuse/orion_factory_ops_report_2026.md"",""failure_or_anomaly"":""metadata (repeat/order/evidence) is stored only in repeat_summary; pair_summary provides compatibility/latency"",""independent_hit_rate"":null,""independent_hits"":null,""independent_queries"":null,""independent_warm_ttft_mean_ms"":9535.7829,""order"":""shared_first"",""pair_ok"":true,""pair_summary_parse_status"":""ok"",""pair_summary_path"":""/home/qcrs/statebus/runs/post_full_p1_qwen3_repaired_20260715_083121/stages/18_prefix_parity_clean_repeats/repeat03/pair_summary.json"",""pair_validation_status"":""validated"",""repeat_index"":3,""shared_hit_rate"":null,""shared_hits"":null,""shared_minus_independent_warm_ttft_ms"":-1504.7192225000008,""shared_queries"":null,""shared_warm_ttft_mean_ms"":8031.063677499999},{""all_completion_contracts_valid"":true,""counter_claim_allowed"":true,""evidence_file"":""v2/benchmark/samples/continuous_task_families/kv_prefix_reuse/nova_retail_ops_report_2026.md"",""failure_or_anomaly"":""metadata (repeat/order/evidence) is stored only in repeat_summary; pair_summary provides compatibility/latency"",""independent_hit_rate"":null,""independent_hits"":null,""independent_queries"":null,""independent_warm_ttft_mean_ms"":8247.950050750002,""order"":""independent_first"",""pair_ok"":true,""pair_summary_parse_status"":""ok"",""pair_summary_path"":""/home/qcrs/statebus/runs/post_full_p1_qwen3_repaired_20260715_083121/stages/18_prefix_parity_clean_repeats/repeat04/pair_summary.json"",""pair_validation_status"":""validated"",""repeat_index"":4,""shared_hit_rate"":null,""shared_hits"":null,""shared_minus_independent_warm_ttft_ms"":-538.4143095000009,""shared_queries"":null,""shared_warm_ttft_mean_ms"":7709.535741250001}],""validated_pair_count"":4},""requirements"":[{""gate"":""pair_parity"",""pass"":true},{""gate"":""repeat_coverage_ge_4"",""pass"":true},{""gate"":""AB_BA_coverage"",""pass"":true},{""gate"":""completion_contract_parity"",""pass"":true},{""gate"":""two_corpus_coverage"",""pass"":true},{""gate"":""clean_service_readiness"",""pass"":true},{""gate"":""aggregate_counter_rate_recomputation"",""pass"":true}],""service_window"":""continuous_service_between_pairs""}",yes,yes,vLLM engine-local cache only,four paired AB/BA repeats where verifier checks pass,4,contradicted,may support engine-local vLLM prefix reuse only; continuous service window is not clean-service restart per repeat
LogitState,LogitState is hidden state and caused a quality/efficiency improvement,v2/runtime/logit_state.py; v2/refs/models.py,P0 task telemetry,positive transfer-count rows=848; persisted logit_state_bytes rows=0,executor-side metric projection recorded,transfer-count and entropy fields; payload bytes absent,"no ref registration, receiver, separately recorded consume event, or behavior-changing A/B established",absent,3,not_supported,"top-logprob compact summary is not a hidden-state tensor or KV cache; do not infer transfer, consumption, or benefit"
External compare,all token/time difference is caused by a typed carrier,v2/benchmark/external_text_baseline.py,P0 Stage 02/12/13/14,case and aggregate ledger,yes,yes,yes,"system-level, not single-variable carrier proof",5,limited,"separate semantic selection/pruning, prompt layout, tools and carrier differences"
Genericity,precompiled CanonicalTaskSpec holdout proves free-text task compilation,scripts/run_v2_genericity_holdout.py,P0 Stage 08,taint/paraphrase artifacts,yes,yes,bounded plan path,ablation evidence only,4,not_supported,precompiled task contract remains a strong prior
openEuler delivery,current experiment proves final openEuler reproducibility,docker/,container run paths,container manifest only,container only,partial,n/a,n/a,2,not_supported,VM/final delivery validation is not in the audited evidence
