comparison_id,comparison_scope,run_group,stage,family,case_id,baseline_layer,treatment_layer,baseline_source_path,treatment_source_path,match_status,quality_comparable_numerator,quality_comparable_denominator,baseline_quality_pass,treatment_quality_pass,baseline_prompt_visible_bytes,treatment_prompt_visible_bytes,prompt_visible_bytes_delta,prompt_visible_bytes_reduction_ratio,baseline_prompt_tokens,treatment_prompt_tokens,prompt_tokens_delta,prompt_tokens_reduction_ratio,baseline_total_tokens,treatment_total_tokens,total_tokens_delta,total_tokens_reduction_ratio,baseline_wall_time_ms,treatment_wall_time_ms,wall_time_ms_delta,baseline_state_ref_count,treatment_state_ref_count,claim_boundary
p0_formal_formal-agg-001_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-001,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-agg-001/logs/task_metrics.json,matched_case_family,1,1,True,True,13229.0,13229.0,0.0,-0.0,5936.0,6050.0,114.0,-0.019204851752021565,6336.0,6370.0,34.0,-0.005366161616161616,27214.611222,21900.756407999997,-5313.854814000002,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-001_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-001,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-agg-001/logs/task_metrics.json,matched_case_family,1,1,True,True,13229.0,1805.0,-11424.0,0.8635573361554161,5936.0,1825.0,-4111.0,0.6925539083557951,6336.0,2122.0,-4214.0,0.6650883838383839,27214.611222,20621.689664999998,-6592.9215570000015,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-001_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-001,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-agg-001/logs/task_metrics.json,matched_case_family,1,1,True,True,13229.0,1805.0,-11424.0,0.8635573361554161,5936.0,1825.0,-4111.0,0.6925539083557951,6336.0,2122.0,-4214.0,0.6650883838383839,27214.611222,20329.37367,-6885.237551999999,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-002_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-002,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-agg-002/logs/task_metrics.json,matched_case_family,1,1,True,True,13240.0,13240.0,0.0,-0.0,6193.0,6235.0,42.0,-0.00678185047634426,6624.0,6572.0,-52.0,0.00785024154589372,30120.114794999998,23821.230316,-6298.884478999997,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-002_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-002,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-agg-002/logs/task_metrics.json,matched_case_family,1,1,True,True,13240.0,1861.0,-11379.0,0.8594410876132931,6193.0,2083.0,-4110.0,0.6636525108994026,6624.0,2439.0,-4185.0,0.6317934782608695,30120.114794999998,24677.66199,-5442.452804999997,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-002_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-002,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-agg-002/logs/task_metrics.json,matched_case_family,1,1,True,True,13240.0,1861.0,-11379.0,0.8594410876132931,6193.0,2083.0,-4110.0,0.6636525108994026,6624.0,2439.0,-4185.0,0.6317934782608695,30120.114794999998,24615.053103,-5505.061691999999,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-003_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-003,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-agg-003/logs/task_metrics.json,matched_case_family,1,1,True,True,9512.0,9512.0,0.0,-0.0,6337.0,6456.0,119.0,-0.018778601862079847,6818.0,6943.0,125.0,-0.018333822235259607,32522.258503000005,32995.935171000005,473.67666800000006,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-003_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-003,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-agg-003/logs/task_metrics.json,matched_case_family,1,1,True,True,9512.0,1077.0,-8435.0,0.8867746005046258,6337.0,1811.0,-4526.0,0.7142180842670033,6818.0,2296.0,-4522.0,0.6632443531827515,32522.258503000005,33160.859318,638.600814999998,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-003_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-003,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-agg-003/logs/task_metrics.json,matched_case_family,1,1,True,True,9512.0,1077.0,-8435.0,0.8867746005046258,6337.0,1811.0,-4526.0,0.7142180842670033,6818.0,2296.0,-4522.0,0.6632443531827515,32522.258503000005,32590.108272999998,67.84976999999344,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-004_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-004,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-004/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-agg-004/logs/task_metrics.json,matched_case_family,1,1,True,True,9516.0,9516.0,0.0,-0.0,6584.0,6621.0,37.0,-0.005619684082624544,7006.0,6992.0,-14.0,0.0019982871824150727,29667.291718999997,26055.305033999997,-3611.986685,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
