contest_requirement,code_mechanism,raw_experiment_evidence,proven_content,fairness_or_quality_evidence,risk_or_gap,claim_level,claim_status
At least three agents / roles,"v2/runtime/smoke.py:56, v2/runtime/smoke.py:59, v2/runtime/smoke.py:115, v2/runtime/smoke.py:319, v2/runtime/smoke.py:349, v2/runtime/smoke.py:469, v2/runtime/smoke.py:470, v2/runtime/smoke.py:473, v2/runtime/smoke.py:474, v2/runtime/smoke.py:479, v2/runtime/smoke.py:480, v2/runtime/smoke.py:483","P0/P1 task metrics and rendered requests contain planner, retriever, executor and summarizer role fields",four named roles are represented in the audited runtime artifacts,role-level quality attribution is limited; see 02_role_case_metrics.csv,"role call accounting changed after the anchor, so historical P0 remains failed",3,partially_proven
Structured protocol and capability/handshake,"v2/control/transport.py:3, v2/control/transport.py:30, v2/control/transport.py:36, v2/control/transport.py:42, v2/control/transport.py:46, v2/control/transport.py:55, v2/control/transport.py:58, v2/control/transport.py:59, v2/control/transport.py:60, v2/control/transport.py:61, v2/control/transport.py:63, v2/control/transport.py:65",P0 Stage 07 and P1 memfd_subprocess artifacts,typed UDS/subprocess path is exercised,"functional transport evidence, not comparative performance evidence",not all roles or all variants cross a process boundary,3,partially_proven
Same-task text and structured comparison,"v2/runtime/compiler.py:8, v2/runtime/compiler.py:147, v2/runtime/compiler.py:151, v2/runtime/compiler.py:154, v2/runtime/compiler.py:180, v2/runtime/compiler.py:188, v2/runtime/compiler.py:215, v2/runtime/compiler.py:250, v2/runtime/compiler.py:260, v2/runtime/compiler.py:285, v2/runtime/compiler.py:296, v2/runtime/compiler.py:316; v2/runtime/smoke.py:56, v2/runtime/smoke.py:59, v2/runtime/smoke.py:115, v2/runtime/smoke.py:319, v2/runtime/smoke.py:349, v2/runtime/smoke.py:469, v2/runtime/smoke.py:470, v2/runtime/smoke.py:473, v2/runtime/smoke.py:474, v2/runtime/smoke.py:479, v2/runtime/smoke.py:480, v2/runtime/smoke.py:483","P0 Stages 02, 06, 11-14 and P1 fixed-answer controls",system-level text/structured comparison records exist,serialized repeat is recorded; latency superiority gate is false,"semantic selection, prompts, helpers and carrier vary together in several comparisons",3,partially_proven
"Non-text state production, transfer, receipt and consumption","v2/runtime/smoke.py:56, v2/runtime/smoke.py:59, v2/runtime/smoke.py:115, v2/runtime/smoke.py:319, v2/runtime/smoke.py:349, v2/runtime/smoke.py:469, v2/runtime/smoke.py:470, v2/runtime/smoke.py:473, v2/runtime/smoke.py:474, v2/runtime/smoke.py:479, v2/runtime/smoke.py:480, v2/runtime/smoke.py:483; v2/state/store.py:4, v2/state/store.py:5, v2/state/store.py:20, v2/state/store.py:27, v2/state/store.py:30, v2/state/store.py:31, v2/state/store.py:32, v2/state/store.py:33, v2/state/store.py:34, v2/state/store.py:35, v2/state/store.py:36, v2/state/store.py:37",P0 formal/UDS and P1 Stage 16/17 workspace/telemetry artifacts,"StateRef publication, transfer and receiver hydration plus backend variants are recorded","functional hydration evidence, not a carrier-only gain proof",downstream consumption is not separately instrumented; not an LLM hidden-state or KV cache handoff,3,supported_through_receiver_hydration_only
"Shared memory storage, retrieval and reuse","v2/runtime/smoke.py:39, v2/runtime/smoke.py:79, v2/runtime/smoke.py:80, v2/runtime/smoke.py:81, v2/runtime/smoke.py:82, v2/runtime/smoke.py:83, v2/runtime/smoke.py:84, v2/runtime/smoke.py:85, v2/runtime/smoke.py:86, v2/runtime/smoke.py:112, v2/runtime/smoke.py:113, v2/runtime/smoke.py:115; v2/state/store.py:4, v2/state/store.py:5, v2/state/store.py:20, v2/state/store.py:27, v2/state/store.py:30, v2/state/store.py:31, v2/state/store.py:32, v2/state/store.py:33, v2/state/store.py:34, v2/state/store.py:35, v2/state/store.py:36, v2/state/store.py:37",P0 Stages 03-05 and P1 Stage 17,memory/replay classes and some reuse signals are persisted,quality and reuse fields are separated in the ledger,memory match is not automatically a skipped call/tool or reuse_gain,4,supported_with_reuse_class_boundary
Two related continuous tasks and at least ten rounds,"v2/runtime/smoke.py:39, v2/runtime/smoke.py:79, v2/runtime/smoke.py:80, v2/runtime/smoke.py:81, v2/runtime/smoke.py:82, v2/runtime/smoke.py:83, v2/runtime/smoke.py:84, v2/runtime/smoke.py:85, v2/runtime/smoke.py:86, v2/runtime/smoke.py:112, v2/runtime/smoke.py:113, v2/runtime/smoke.py:115",P0 Stages 04/05 continuous-task artifacts,continuous families and round metrics are inventoried,quality/reuse require family-level reading,do not generalize a family-specific reuse result to all tasks,3,partially_proven
Communication/token/byte/latency/state/reuse telemetry,"v2/runtime/vllm_metrics.py:9, v2/runtime/vllm_metrics.py:11, v2/runtime/vllm_metrics.py:12, v2/runtime/vllm_metrics.py:19, v2/runtime/vllm_metrics.py:20, v2/runtime/vllm_metrics.py:21, v2/runtime/vllm_metrics.py:22, v2/runtime/vllm_metrics.py:26, v2/runtime/vllm_metrics.py:27, v2/runtime/vllm_metrics.py:35, v2/runtime/vllm_metrics.py:36, v2/runtime/vllm_metrics.py:37; v2/runtime/smoke.py:56, v2/runtime/smoke.py:59, v2/runtime/smoke.py:115, v2/runtime/smoke.py:319, v2/runtime/smoke.py:349, v2/runtime/smoke.py:469, v2/runtime/smoke.py:470, v2/runtime/smoke.py:473, v2/runtime/smoke.py:474, v2/runtime/smoke.py:479, v2/runtime/smoke.py:480, v2/runtime/smoke.py:483","normalized case, role and stage ledgers",metrics are retained and ratios are recomputed from additive fields,P0 latency repeat preserves an explicit non-superiority decision,missing values remain null; timing claims require serialized matched reruns,3,partially_proven
Runtime/protocol/statepool/memory/eval system completeness,"v2/control/transport.py:3, v2/control/transport.py:30, v2/control/transport.py:36, v2/control/transport.py:42, v2/control/transport.py:46, v2/control/transport.py:55, v2/control/transport.py:58, v2/control/transport.py:59, v2/control/transport.py:60, v2/control/transport.py:61, v2/control/transport.py:63, v2/control/transport.py:65; v2/state/store.py:4, v2/state/store.py:5, v2/state/store.py:20, v2/state/store.py:27, v2/state/store.py:30, v2/state/store.py:31, v2/state/store.py:32, v2/state/store.py:33, v2/state/store.py:34, v2/state/store.py:35, v2/state/store.py:36, v2/state/store.py:37; v2/runtime/smoke.py:39, v2/runtime/smoke.py:79, v2/runtime/smoke.py:80, v2/runtime/smoke.py:81, v2/runtime/smoke.py:82, v2/runtime/smoke.py:83, v2/runtime/smoke.py:84, v2/runtime/smoke.py:85, v2/runtime/smoke.py:86, v2/runtime/smoke.py:112, v2/runtime/smoke.py:113, v2/runtime/smoke.py:115",P0/P1 stage inventory and artifact-ledger coverage,multiple implemented subsystems have recorded execution paths,not applicable as one aggregate causal comparison,P0 pytest and P1 Stage 18 historical statuses are not all-pass,3,partially_proven
CodeAct and safety boundary,"v2/runtime/codeact.py:13, v2/runtime/codeact.py:75, v2/runtime/codeact.py:76, v2/runtime/codeact.py:81, v2/runtime/codeact.py:85, v2/runtime/codeact.py:95, v2/runtime/codeact.py:102, v2/runtime/codeact.py:109, v2/runtime/codeact.py:112, v2/runtime/codeact.py:135, v2/runtime/codeact.py:159, v2/runtime/codeact.py:169",task telemetry where CodeAct counters are persisted,fallback-aware CodeAct/sandbox path exists,no independent security or benefit experiment,no nsjail/openEuler final isolation validation in this evidence,3,prototype_or_proxy
openEuler delivery reproducibility,docker/deploy paths only; no VM result is in the audited roots,P1 manifest/configuration provenance only,container-oriented source/provenance exists,not applicable,no audited openEuler VM final-delivery validation,2,not_supported
