run_group,stage,case_id,role,match_rule,severity,raw_occurrence_count,unique_fragment_count,unique_source_count,conclusion
p0_full,02_compare_full,statebus,executor,route_tool_candidate,high,75,20,25,triage only; requires provenance review
p0_full,02_compare_full,statebus,planner,state_or_evidence_contract,review,75,2,25,triage only; requires provenance review
p0_full,02_compare_full,statebus,retriever,route_tool_candidate,high,75,14,25,triage only; requires provenance review
p0_full,02_compare_full,statebus,summarizer,no_match,none,25,0,25,no automated hit
p0_full,03_replay_full,_history_bootstrap,executor,route_tool_candidate,high,75,9,25,triage only; requires provenance review
p0_full,03_replay_full,_history_bootstrap,planner,state_or_evidence_contract,review,75,2,25,triage only; requires provenance review
p0_full,03_replay_full,_history_bootstrap,retriever,route_tool_candidate,high,75,9,25,triage only; requires provenance review
p0_full,03_replay_full,_history_bootstrap,summarizer,no_match,none,25,0,25,no automated hit
p0_full,03_replay_full,benchmark-sample-1,executor,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-1,planner,state_or_evidence_contract,review,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-1,retriever,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-1,summarizer,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-2,executor,route_tool_candidate,high,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-2,executor,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-2,planner,state_or_evidence_contract,review,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-2,retriever,route_tool_candidate,high,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-2,retriever,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-2,summarizer,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-3,executor,route_tool_candidate,high,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-3,executor,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-3,planner,state_or_evidence_contract,review,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-3,retriever,route_tool_candidate,high,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-3,retriever,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-3,summarizer,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-4,executor,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-4,planner,state_or_evidence_contract,review,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-4,retriever,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-4,summarizer,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-5,executor,route_tool_candidate,high,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-5,executor,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-5,planner,state_or_evidence_contract,review,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-5,retriever,route_tool_candidate,high,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-5,retriever,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-5,summarizer,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-6,executor,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-6,planner,state_or_evidence_contract,review,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-6,retriever,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-6,summarizer,no_match,none,1,0,1,no automated hit
p0_full,03_replay_full,benchmark-sample-7,executor,route_tool_candidate,high,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-7,executor,scorer_or_validator,high,1,1,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-7,planner,state_or_evidence_contract,review,3,2,1,triage only; requires provenance review
p0_full,03_replay_full,benchmark-sample-7,retriever,route_tool_candidate,high,3,2,1,triage only; requires provenance review
